"VIC_ESCOLARIDAD","VIC_EST_CIV","VIC_TRABAJA","AGR_TRABAJA","AGR_ESCOLARIDAD","AGR_EST_CIV"
32,9,2,1,26,9
33,9,2,2,26,9
33,9,2,1,99,9
39,9,2,9,39,9
39,9,2,1,49,9
39,9,2,1,39,9
39,9,2,1,39,9
44,9,2,1,39,9
44,9,2,1,10,9
44,9,2,1,99,9
46,9,2,1,46,9
49,9,2,1,49,9
49,9,2,1,49,9
49,9,2,9,99,9
52,9,2,1,44,9
99,9,2,9,99,9
99,9,2,2,99,9
46,9,1,1,46,9
29,9,1,1,39,9
45,9,1,1,45,9
32,9,1,2,33,9
99,9,1,1,33,9
10,9,1,2,39,9
29,9,1,2,29,9
49,9,1,1,31,9
10,9,1,1,39,9
39,9,1,2,49,9
32,1,1,1,33,9
10,2,1,2,99,9
46,1,1,9,99,9
33,9,9,1,33,9
39,9,1,1,39,9
26,9,2,1,26,9
26,9,2,1,26,9
29,1,2,2,99,9
99,1,2,9,99,9
10,9,2,2,33,9
26,9,2,1,99,9
31,9,2,9,46,9
31,9,2,1,33,9
32,9,2,1,31,9
39,9,2,1,39,9
49,9,1,1,39,9
33,9,1,2,22,9
39,9,1,2,39,9
99,9,1,1,99,9
33,2,1,1,33,9
39,9,1,2,39,9
33,9,1,2,26,9
99,1,2,9,99,9
10,2,2,1,33,9
10,2,2,1,33,9
10,9,2,1,26,9
10,9,2,2,26,9
23,9,2,1,10,9
26,9,2,1,24,9
26,9,2,2,39,9
26,9,2,2,32,9
26,9,2,1,26,9
26,9,2,1,26,9
26,9,2,1,26,9
26,9,2,2,26,9
29,9,2,2,29,9
29,9,2,2,29,9
29,9,2,2,29,9
29,9,2,1,10,9
31,9,2,1,26,9
32,9,2,2,33,9
32,9,2,1,25,9
33,9,2,1,45,9
33,9,2,1,33,9
33,9,2,1,26,9
33,9,2,1,33,9
39,9,2,9,39,9
39,9,2,1,39,9
44,9,2,1,33,9
45,9,2,1,26,9
49,9,2,2,49,9
99,9,2,1,99,9
99,9,2,2,33,9
49,9,1,2,49,9
45,9,1,1,33,9
46,9,1,2,46,9
46,9,1,1,33,9
25,9,1,2,23,9
39,9,1,2,25,9
45,9,1,1,33,9
26,9,1,1,31,9
39,9,1,1,39,9
26,9,1,1,33,9
49,1,2,2,10,1
29,2,2,1,39,1
29,9,2,1,29,1
29,9,2,9,29,1
10,2,1,2,99,1
21,9,1,1,33,1
29,1,1,1,29,1
45,9,2,1,32,1
24,2,1,2,26,1
10,2,2,2,33,1
49,2,1,2,49,1
46,9,1,1,51,1
99,1,2,1,99,1
59,1,1,2,49,1
10,1,2,1,29,1
